sample1,,sample1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0673828,0.1372050196,800.0673828,0.1369069666,
798.958252,0.13565965,798.958252,0.1374661624,
797.9874268,0.1370045841,797.9874268,0.1374520957,
797.0161743,0.1374318749,797.0161743,0.1371917427,
796.0445557,0.1387260258,796.0445557,0.1371290535,
794.9336548,0.1380782872,794.9336548,0.1382924318,
793.9612427,0.1356763542,793.9612427,0.1387896538,
792.9884033,0.1375788897,792.9884033,0.1380204856,
792.0152588,0.138857469,792.0152588,0.1389578432,
791.041687,0.1383799314,791.041687,0.1372677237,
790.067749,0.1374157518,790.067749,0.1369667649,
788.9542236,0.1385787576,788.9542236,0.1386806071,
787.9795532,0.139926523,787.9795532,0.1381324083,
787.0044556,0.1392737925,787.0044556,0.1389315426,
786.0289917,0.140741244,786.0289917,0.1389891058,
785.0531006,0.1390441507,785.0531006,0.1383608431,
783.937439,0.1392849535,783.937439,0.1401872635,
782.9608154,0.1386208683,782.9608154,0.1391820908,
781.9838257,0.1392392665,781.9838257,0.1389325708,
781.0064087,0.1408418417,781.0064087,0.1401669234,
780.0286865,0.1390597373,780.0286865,0.1390264332,
779.0505981,0.1397287101,779.0505981,0.1407518089,
777.932312,0.1398400366,777.932312,0.138950035,
776.9534302,0.1398346871,776.9534302,0.1404283047,
775.9741821,0.1409877241,775.9741821,0.1398312598,
774.9945068,0.1398386061,774.9945068,0.1403385699,
774.0145264,0.1410792768,774.0145264,0.1394255012,
773.0341797,0.1403525174,773.0341797,0.1404939145,
772.0534668,0.1402252316,772.0534668,0.1392696947,
770.9321899,0.139546454,770.9321899,0.1416834593,
769.9506836,0.1390143186,769.9506836,0.1412450522,
768.968811,0.1405804157,768.968811,0.1412476599,
767.9865723,0.1412919611,767.9865723,0.142039448,
767.0040283,0.1403505504,767.0040283,0.1420909315,
766.0210571,0.1405688673,766.0210571,0.1405141205,
765.0377197,0.1409980655,765.0377197,0.1408829838,
764.0540771,0.141315788,764.0540771,0.141307801,
763.0700073,0.1399963796,763.0700073,0.1412317902,
761.9450073,0.1423316449,761.9450073,0.1415764987,
760.9602051,0.142039448,760.9602051,0.141020745,
759.9750366,0.1406218559,759.9750366,0.1421669126,
758.989502,0.1418555677,758.989502,0.1419040114,
758.0036011,0.1411020458,758.0036011,0.1411305666,
757.017395,0.1408605576,757.017395,0.1405219287,
756.0307617,0.1414709091,756.0307617,0.1408620626,
755.0438232,0.1421192586,755.0438232,0.1412358731,
754.0565186,0.141141817,754.0565186,0.1405053288,
753.0688477,0.1417116225,753.0688477,0.140824616,
751.9396362,0.1425660104,751.9396362,0.1414418966,
750.9512329,0.1414003521,750.9512329,0.1414822638,
749.9624634,0.1408357471,749.9624634,0.1409372538,
748.9733276,0.141812548,748.9733276,0.1411808282,
747.9838257,0.1411249787,747.9838257,0.1420385242,
746.9939575,0.1406608671,746.9939575,0.1419116259,
746.0037842,0.140856415,746.0037842,0.1408664733,
745.0132446,0.1417772323,745.0132446,0.140932858,
744.0223389,0.1406748891,744.0223389,0.1411472261,
743.0310669,0.1413903832,743.0310669,0.1406948566,
742.0394897,0.1398362517,742.0394897,0.1405775547,
741.0475464,0.1403108239,741.0475464,0.1398975104,
740.0552368,0.140830487,740.0552368,0.1401812881,
739.0626221,0.1398498267,739.0626221,0.1391911805,
738.0695801,0.1400388926,738.0695801,0.1390787363,
736.9343262,0.1397711486,736.9343262,0.1397095025,
735.9405518,0.1399880499,735.9405518,0.139716357,
734.9464722,0.139493525,734.9464722,0.1393595934,
733.9520264,0.1390344203,733.9520264,0.1384685785,
732.9572754,0.1382026374,732.9572754,0.1385906637,
731.9621582,0.1391373277,731.9621582,0.1388150603,
730.9666748,0.1386003047,730.9666748,0.1389045864,
729.9708252,0.1381393075,729.9708252,0.1379149705,
728.9746704,0.1380496174,728.9746704,0.1376749575,
727.9782104,0.1382676661,727.9782104,0.1385651231,
